et_title_product_id,et_title_product_name,et_title_variation_id,et_title_variation_name,et_title_parent_sku,et_title_variation_sku,et_title_variation_price,ps_gtin_code,et_title_variation_stock,ps_minimum_purchase_quantity,ps_maximum_purchase_quantity,ps_maximum_purchase_quantity_start_date,ps_maximum_purchase_quantity_time_period,ps_maximum_purchase_quantity_end_date,et_title_reason
sales_info,35b74571cd927608dc4cc2b998b916cb,0,33248311,"{""search_condition"":{}}",,,,,,,,,,
Kode Produk,Nama Produk,Kode Variasi,Nama Variasi,SKU Induk,SKU,Harga,GTIN,Stok,Min. Jumlah Pembelian,Maks. Jumlah Pembelian,Maks. Jumlah Pembelian - Tanggal Mulai,Maks. Jumlah Pembelian - Jumlah Hari,Maks. Jumlah Pembelian - Tanggal Berakhir,Alasan Gagal
,,,,,,Wajib,,Wajib,,,,,,
,,,,,,,,,,,,,,
,,,,,,Mohon masukkan 99 sampai 1000000000 untuk harga produk. Batas harga produk termahal dibagi harga harga produk termurah: 7,,,"Min. jumlah pembelian merupakan isi dari tingkatan produk. Pembeli dapat memesan variasi yang berbeda untuk mencapai min. jumlah pembelian. Jika dikosongkan, min. jumlah pembelian akan otomatis bernilai 1. Pastikan stok lebih besar dari min. jumlah pembelian agar Pembeli dapat membuat pesanan.","[Per Pesanan + Per Periode] Pengaturan ini akan membatasi Maks. jumlah pembelian yang dapat dibeli per pesanan atau per periode. Mohon masukkan input dari 1 hingga 999,999.",[Hanya untuk Pengaturan Per Periode] Mohon tentukan tanggal mulai. Tanggal mulai tercepat adalah besok. Mohon masukkan format tanggal dalam YYYY-MM-DD.,"[Hanya untuk Pengaturan Per Periode] Batas Maks. jumlah pembelian akan berakhir (untuk tipe periode ""Tidak Berulang"") atau mulai kembali (untuk tipe periode ""Berulang"") setelah jumlah hari yang ditentukan. Mohon masukkan 1 sampai 365.","[Hanya untuk Pengaturan Per Periode] Mohon masukkan tanggal dalam format YYY-MM-DD. 

Untuk tipe periode ""Tidak Berulang"", tanggal berakhir = tanggal mulai + jumlah hari - 1. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, tanggal berakhir = 2021-05-10. 

Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
42864776280,Filter Udara PCX 160/Vario 160,79581203215,,,,32400,,70,1,,,,,
41923946785,Saklar MegaPro New Kiri dan Kanan 2010-2011,188750656267,,,,126900,,50,1,,,,,
40372122546,Master Rem Belakang Assy Full Set Piring Cakram Belakang  Supra X 125/Karisma,301797801263,,,,384500,,35,1,,,,,
40257144188,Gear Set Karisma/Supra X 125 Karburator KPH,253591066083,,,,145800,,12,1,,,,,
29183470238,Pulser Spull Beat Lama/Beat Old,248183752943,,,,35100,,70,1,,,,,
28718056627,Master Rem Atas Set Kiri&Kanan N-max,252059854868,,,,189000,,70,0,,,,,
28573176520,Cairan Anti Bocor Ban Tubles Motor/Mobil,242446857203,,,,70200,,188,0,,,,,
28517958504,Pelampung Bensin Megapro/Tiger/Glpro,217985778708,,,,47500,,70,0,,,,,
28353429786,Kabel Body Set Jupiter Z,222924398822,,,,145800,,70,0,,,,,
27853178333,Kabel Body Vega ZR,222914113398,,,,170100,,70,0,,,,,
27656463989,Raiser/Peninggi Stang Motor CNC All Motor,88968843459,Hitam,,,72900,,70,0,,,,,
27656463989,Raiser/Peninggi Stang Motor CNC All Motor,88968843460,Merah Maron,,,72900,,70,,,,,,
27656463989,Raiser/Peninggi Stang Motor CNC All Motor,88968843461,Gold,,,72900,,70,,,,,,
27656463989,Raiser/Peninggi Stang Motor CNC All Motor,88968843462,Crom/Silver,,,72900,,70,,,,,,
27656463989,Raiser/Peninggi Stang Motor CNC All Motor,88968843458,Biru,,,72900,,70,,,,,,
27653431277,Kabel Body Set Mio Lama 5TL/Sporty,119194555285,,,,167400,,70,0,,,,,
27418042775,Master Rem Atas Kanan Set Handle N-max,49489093282,,,,95000,,70,0,,,,,
27355261272,Aki Kering Federal FTZ-5S( 12Volt 5Ah,98959845746,,,,148500,,35,1,,,,,
27183313902,Sensor TPS/MAQS Mio J/Soul GT/X-Ride/Fino F1/Nmax/Xeon/Vixion New,198421596003,,,,91800,,45,1,,,,,
27154086289,Soket Injektor Satria Fu 150/CBR,168282625788,,,,18400,,99,0,,,,,
27038289864,Gear Set Satria Fu 150(2700B25G60NKIT),305605564513,,,,145800,,12,1,,,,,
26822299158,Pentil Ban Tubles Model Bengkok 2pcs,257382612808,,,,19400,,99,0,,,,,
26818019879,Pelampung Tangki Bensin Tiger New,252057865531,,,,47500,,70,0,,,,,
26520426817,As Shock Komplit Supra/Supra X/Supra Fit Lama,215633523514,,,,164200,,50,0,,,,,
26432550717,Pulser Spull Beat Lama,258113564400,,,,35100,,70,1,,,,,
26368023249,CDI Shogun 110/Shogun Kebo,215566837887,,,,118800,,70,0,,,,,
26068112338,Pelampung Tangki Bensin Satria Fu 150,187986248743,,,,42100,,69,0,,,,,
25959504501,Footstep Belakang Tiger,217281631542,,,,51300,,69,0,,,,,
